rank,final_score,semantic_score,title_score,career_score,assessment_score,skill_trust_score,behavioral_multiplier,ranker_reasoning,candidate_id,name,headline,summary,location,country,years_of_experience,current_title,current_company,current_company_size,current_industry,career_titles,career_companies,career_duration_months,career_industries,total_career_roles,career_descriptions,education_degrees,education_fields,education_institutions,education_tiers,top_skills,ai_skills,ai_skill_count,total_skill_count,certifications,assessment_scores,assessment_count,profile_completeness_score,open_to_work,github_activity_score,recruiter_response_rate,notice_period_days,preferred_work_mode,willing_to_relocate,expected_salary_lpa,interview_completion_rate,offer_acceptance_rate,connection_count,endorsements_received,verified_email,verified_phone,linkedin_connected,last_active_date,signup_date,profile_views_30d,saved_by_recruiters_30d,search_appearance_30d,avg_response_time_hours
1,0.924575,92.4575,35.0000,24.0741,12.8850,9.1543,1.1500,Search Engineer | 6.0 yrs exp | 3 AI role(s) in career | assess=12.9 | resp_rate=0.91 | mult=1.150,CAND_0081686,Naina Tiwari,Search Engineer | Applied ML | Building intelligent products,"Machine learning engineer with 6.0 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, my main project for the last 18 months has been the recommendation system that powers our discovery feed. I've spent enough time debugging production ranking issues to know which signals matter and which are noise. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.",Austin,USA,6.0,Search Engineer,Netflix,10001+,Media,Search Engineer | Recommendation Systems Engineer | AI Engineer,Netflix | Niramai | Zoho,28 | 30 | 13,SaaS | HealthTech AI | Media,3,"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli | Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n | Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) fo",M.S.,Data Science,IIT Kanpur,tier_1,"Python (expert, 59 endorse, 78mo) | Milvus (expert, 55 endorse, 93mo) | Semantic Search (expert, 44 endorse, 68mo) | LLMs (expert, 38 endorse, 61mo) | LangChain (expert, 36 endorse, 48mo) | Embeddings (expert, 30 endorse, 59mo) | FAISS (expert, 26 endorse, 49mo) | Machine Learning (expert, 25 endorse, 84mo) | QLoRA (expert, 8 endorse, 75mo) | Kubeflow (advanced, 49 endorse, 33mo) | CNN (advanced, 46 endorse, 43mo) | Hugging Face Transformers (advanced, 37 endorse, 21mo) | Forecasting (advanced, 14 endorse, 44mo) | OpenCV (intermediate, 12 endorse, 30mo) | Feature Engineering (intermediate, 11 endorse, 13mo)",Machine Learning | Kubeflow | FAISS | Feature Engineering | OpenCV | Milvus | LangChain | QLoRA | Hugging Face Transformers | Weights & Biases,10,18,"Deep Learning Specialization (Coursera/DeepLearning.AI, 2024)",Embeddings: 61.8 | FAISS: 85.9 | Kubeflow: 73.2 | Machine Learning: 64.9,4,57.2,False,46.4,0.91,60,hybrid,False,30.3–45.9 LPA,0.86,-1,1106,66,True,True,True,2026-04-25,2024-11-10,218,47,399,68.9
2,0.913180,91.3180,35.0000,25.0000,9.9069,8.6687,1.1500,Recommendation Systems Engineer | 6.0 yrs exp | 4 AI role(s) in career | assess=9.9 | resp_rate=0.91 | mult=1.150,CAND_0000031,Ela Singh,"Recommendation Systems Engineer | Search, Ranking & Retrieval","Machine learning engineer with 6.0 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I led the team that migrated our keyword-search-based product to embedding-based retrieval. I've learned that most retrieval problems are actually evaluation problems in disguise. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Hyderabad, Telangana",India,6.0,Recommendation Systems Engineer,Swiggy,5001-10000,Food Delivery,Recommendation Systems Engineer | Search Engineer | NLP Engineer | Applied ML Engineer,Swiggy | Mad Street Den | Uber | Zomato,14 | 16 | 27 | 13,AI/ML | Transportation | Food Delivery,4,"Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item enga | Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item enga | Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item enga | Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli",M.Tech,Computer Engineering,SRM University,tier_2,"Embeddings (expert, 48 endorse, 60mo) | Pinecone (expert, 34 endorse, 88mo) | Hugging Face Transformers (expert, 18 endorse, 36mo) | Sentence Transformers (expert, 16 endorse, 69mo) | Information Retrieval (expert, 2 endorse, 84mo) | MLflow (advanced, 59 endorse, 21mo) | Image Classification (advanced, 56 endorse, 28mo) | Machine Learning (advanced, 43 endorse, 23mo) | scikit-learn (advanced, 41 endorse, 60mo) | Feature Engineering (advanced, 38 endorse, 26mo) | FAISS (advanced, 19 endorse, 35mo) | MLOps (intermediate, 15 endorse, 36mo) | Speech Recognition (intermediate, 14 endorse, 24mo) | Marketing (intermediate, 11 endorse, 36mo) | Go (intermediate, 7 endorse, 19mo)",MLflow | FAISS | Pinecone | Image Classification | Machine Learning | Speech Recognition | BentoML | Hugging Face Transformers | Feature Engineering | Sentence Transformers | scikit-learn,11,17,,FAISS: 68.4 | Image Classification: 57.1 | MLflow: 75.1 | Pinecone: 53.6,4,83.4,True,32.6,0.91,60,flexible,True,27.3–60.2 LPA,0.6,0.38,832,177,False,True,False,2026-05-24,2026-01-28,194,13,778,76.1
3,0.911679,91.1679,35.0000,24.0741,12.5550,8.3534,1.1500,Recommendation Systems Engineer | 8.0 yrs exp | 3 AI role(s) in career | assess=12.6 | resp_rate=0.77 | mult=1.150,CAND_0041669,Aisha Banerjee,"Recommendation Systems Engineer | Search, Ranking & Retrieval","Machine learning engineer with 8.0 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I shipped our first RAG-based feature this year and now own the eval framework for it. I've spent enough time debugging production ranking issues to know which signals matter and which are noise. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Noida, Uttar Pradesh",India,8.0,Recommendation Systems Engineer,CRED,1001-5000,Fintech,Recommendation Systems Engineer | Search Engineer | NLP Engineer,CRED | Mad Street Den | Yellow.ai,37 | 52 | 6,Fintech | AI/ML,3,"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli | Implemented a RAG-based customer support chatbot integrated with our existing ticketing system. Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) a | Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) fo",B.Tech | B.E.,Information Technology | Computer Engineering,IIT Guwahati | IIT Guwahati,tier_1 | tier_1,"PEFT (expert, 14 endorse, 51mo) | Milvus (expert, 11 endorse, 76mo) | Semantic Search (expert, 7 endorse, 93mo) | Weaviate (advanced, 59 endorse, 18mo) | Time Series (advanced, 54 endorse, 37mo) | Prompt Engineering (advanced, 46 endorse, 52mo) | MLflow (advanced, 39 endorse, 29mo) | Qdrant (advanced, 37 endorse, 18mo) | Haystack (advanced, 30 endorse, 26mo) | MLOps (advanced, 26 endorse, 40mo) | Information Retrieval (advanced, 21 endorse, 55mo) | Weights & Biases (advanced, 15 endorse, 57mo) | Machine Learning (advanced, 15 endorse, 43mo) | ASR (advanced, 10 endorse, 44mo) | FAISS (advanced, 7 endorse, 38mo)",FAISS | Milvus | PEFT | Diffusion Models | MLflow | QLoRA | Weaviate | Prompt Engineering | Weights & Biases | Machine Learning | Qdrant,11,20,,FAISS: 83.7 | Milvus: 76.1,2,62.5,True,70.9,0.77,60,onsite,False,30.2–52.8 LPA,0.93,0.82,717,52,True,True,False,2026-04-06,2024-12-20,143,37,326,3.7
4,0.903298,90.3298,35.0000,24.0741,13.2179,9.2564,1.1500,Senior Applied Scientist | 16.2 yrs exp | 3 AI role(s) in career | assess=13.2 | resp_rate=0.81 | mult=1.150,CAND_0039754,Mira Banerjee,Senior Applied Scientist | Building AI-native search & ranking systems,"Senior AI engineer with 8.3 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I rebuilt the candidate-JD matching pipeline from scratch, taking it from 0.72 to 0.91 NDCG@10, serving 50M+ queries per month. My day-to-day work spans embedding model selection and fine-tuning, hybrid retrieval architecture, learning-to-rank, behavioral-signal integration, and the offline/online evaluation that ties it all together. I've shipped systems in both early-stage product companies and at larger scale, and I've spent enough time on both that I know which tradeoffs apply where. I believe most ranking problems are solved by careful feature engineering and rigorous eval, not by bigger models. Currently exploring my next move — looking for senior IC or tech-lead roles where I can own the intelligence layer end-to-end.","Indore, Madhya Pradesh",India,16.2,Senior Applied Scientist,Meta,10001+,Internet,Senior Applied Scientist | Senior ML Engineer — Search & Ranking | Senior Applied Scientist,Meta | Apple | Observe.AI,37 | 40 | 21,Internet | Consumer Electronics | AI/ML,3,"Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-s | Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items. Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense ve | Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an",M.Sc,Data Science,IIT Hyderabad,tier_1,"NLP (expert, 58 endorse, 46mo) | Deep Learning (expert, 46 endorse, 68mo) | Python (expert, 44 endorse, 95mo) | Elasticsearch (expert, 43 endorse, 46mo) | OpenSearch (expert, 41 endorse, 71mo) | Weaviate (expert, 33 endorse, 64mo) | pgvector (expert, 30 endorse, 70mo) | Qdrant (expert, 28 endorse, 67mo) | Fine-tuning LLMs (expert, 7 endorse, 57mo) | TensorFlow (expert, 7 endorse, 60mo) | Machine Learning (expert, 2 endorse, 50mo) | BM25 (advanced, 43 endorse, 50mo) | Kubeflow (advanced, 34 endorse, 53mo) | LLMs (advanced, 22 endorse, 33mo) | LlamaIndex (advanced, 11 endorse, 19mo)",Fine-tuning LLMs | LlamaIndex | Qdrant | NLP | Statistical Modeling | Kubeflow | OpenSearch | Deep Learning | Machine Learning | Weaviate | TensorFlow | Speech Recognition,12,20,,Fine-tuning LLMs: 96.5 | Kubeflow: 74.1 | LlamaIndex: 65.2 | NLP: 80.5 | Qdrant: 61.5,5,67.1,True,77.5,0.81,30,hybrid,True,30.1–62.1 LPA,0.98,0.55,1009,46,True,True,True,2026-05-14,2025-10-04,279,51,541,38.5
5,0.897213,89.7213,35.0000,21.1216,13.4100,9.2180,1.1500,Search Engineer | 4.5 yrs exp | 2 AI role(s) in career | assess=13.4 | resp_rate=0.74 | mult=1.150,CAND_0084819,Krishna Shah,"Search Engineer | Search, Ranking & Retrieval","Machine learning engineer with 4.5 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I've been the de-facto ML lead on a small team, shipping models across NLP and recsys. I've spent enough time debugging production ranking issues to know which signals matter and which are noise. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Indore, Madhya Pradesh",India,4.5,Search Engineer,Dream11,1001-5000,Gaming,Search Engineer | Senior Data Scientist,Dream11 | Razorpay,33 | 20,Fintech | Gaming,2,"Implemented a RAG-based customer support chatbot integrated with our existing ticketing system. Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) a | Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli",M.S.,Information Technology,Christ University,tier_3,"LoRA (expert, 60 endorse, 86mo) | BM25 (expert, 54 endorse, 64mo) | OpenSearch (expert, 53 endorse, 78mo) | Weaviate (expert, 52 endorse, 57mo) | Recommendation Systems (expert, 47 endorse, 40mo) | scikit-learn (expert, 38 endorse, 42mo) | Information Retrieval (expert, 37 endorse, 80mo) | Sentence Transformers (expert, 9 endorse, 68mo) | LlamaIndex (expert, 3 endorse, 45mo) | Semantic Search (advanced, 56 endorse, 21mo) | Speech Recognition (advanced, 34 endorse, 41mo) | Reinforcement Learning (advanced, 15 endorse, 53mo) | PyTorch (advanced, 3 endorse, 25mo) | MLOps (intermediate, 15 endorse, 20mo) | MLflow (intermediate, 9 endorse, 33mo)",OpenSearch | Recommendation Systems | LlamaIndex | scikit-learn | PyTorch | Weaviate | MLflow | LoRA | Sentence Transformers | Speech Recognition,10,17,,BM25: 77.4 | OpenSearch: 82.8 | Recommendation Systems: 89.4 | Semantic Search: 59.8,4,95.2,True,55.6,0.74,120,hybrid,False,43.8–56.2 LPA,0.82,0.63,1497,174,True,True,True,2026-05-09,2026-03-21,99,50,1056,52.9
6,0.888954,88.8954,35.0000,24.0741,12.8400,8.7313,1.1500,Senior AI Engineer | 7.8 yrs exp | 3 AI role(s) in career | assess=12.8 | resp_rate=0.76 | mult=1.150,CAND_0071974,Sai Verma,Senior AI Engineer | Production ML at scale | 7.8+ yrs,"Senior AI engineer with 7.8 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I led the migration from keyword-based ranking to a learning-to-rank model with embedded behavioral signals, handling peak QPS of 8K with sub-200ms p95. My day-to-day work spans embedding model selection and fine-tuning, hybrid retrieval architecture, learning-to-rank, behavioral-signal integration, and the offline/online evaluation that ties it all together. I've shipped systems in both early-stage product companies and at larger scale, and I've spent enough time on both that I know which tradeoffs apply where. I believe most ranking problems are solved by careful feature engineering and rigorous eval, not by bigger models. Currently exploring my next move — looking for senior IC or tech-lead roles where I can own the intelligence layer end-to-end.","Vizag, Andhra Pradesh",India,7.8,Senior AI Engineer,Netflix,10001+,Media,Senior AI Engineer | Staff Machine Learning Engineer | Staff Machine Learning Engineer,Netflix | Meta | Mad Street Den,50 | 28 | 14,Internet | AI/ML | Media,3,"Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-s | Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. Built the data curation pipeline that generated 200K high-quality preference pairs from re | Built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months. The system combined collaborative filtering (matrix fact",M.Sc,Artificial Intelligence,NIT Warangal,tier_1,"Qdrant (expert, 53 endorse, 68mo) | Embeddings (expert, 50 endorse, 46mo) | Elasticsearch (expert, 44 endorse, 96mo) | BM25 (expert, 40 endorse, 58mo) | Sentence Transformers (expert, 26 endorse, 48mo) | Weaviate (expert, 5 endorse, 61mo) | Pinecone (expert, 5 endorse, 51mo) | Speech Recognition (advanced, 56 endorse, 18mo) | PEFT (advanced, 55 endorse, 43mo) | Machine Learning (advanced, 45 endorse, 20mo) | MLOps (advanced, 45 endorse, 47mo) | LoRA (advanced, 42 endorse, 41mo) | Forecasting (advanced, 37 endorse, 48mo) | Information Retrieval (advanced, 33 endorse, 29mo) | CNN (advanced, 22 endorse, 45mo)",LoRA | Weaviate | PEFT | Pinecone | Machine Learning | Qdrant | Sentence Transformers | Speech Recognition | Object Detection,9,19,"Google Cloud Professional ML Engineer (Google Cloud, 2024) | NLP Specialization (Coursera/DeepLearning.AI, 2021)",Learning to Rank: 77.2 | LoRA: 86.7 | PEFT: 85.6 | Weaviate: 69.2,4,87.1,True,82.8,0.76,45,onsite,False,46.7–58.1 LPA,0.85,-1,1898,167,True,True,True,2026-04-16,2025-05-07,335,50,132,38.2
7,0.887700,88.7700,35.0000,23.1481,9.7350,9.1979,1.1500,Recommendation Systems Engineer | 6.8 yrs exp | 2 AI role(s) in career | assess=9.7 | resp_rate=0.73 | mult=1.150,CAND_0018549,Mira Verma,"Recommendation Systems Engineer | ML, NLP, Recommendation Systems","Machine learning engineer with 6.8 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I led the team that migrated our keyword-search-based product to embedding-based retrieval. I've learned that most retrieval problems are actually evaluation problems in disguise. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Coimbatore, Tamil Nadu",India,6.8,Recommendation Systems Engineer,Uber,10001+,Transportation,Recommendation Systems Engineer | Machine Learning Engineer,Uber | Flipkart,37 | 44,E-commerce | Transportation,2,"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli | Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) fo",M.Tech,Data Science,Stanford University,tier_1,"OpenSearch (expert, 54 endorse, 41mo) | Elasticsearch (expert, 43 endorse, 73mo) | scikit-learn (expert, 43 endorse, 78mo) | Qdrant (expert, 37 endorse, 74mo) | LangChain (expert, 28 endorse, 81mo) | Prompt Engineering (expert, 21 endorse, 85mo) | Weaviate (expert, 10 endorse, 44mo) | Fine-tuning LLMs (expert, 10 endorse, 40mo) | Milvus (expert, 5 endorse, 79mo) | Time Series (advanced, 38 endorse, 57mo) | Kubernetes (intermediate, 9 endorse, 30mo) | BigQuery (intermediate, 8 endorse, 25mo) | Speech Recognition (intermediate, 6 endorse, 11mo) | Computer Vision (intermediate, 5 endorse, 27mo)",Computer Vision | Weaviate | LangChain | Qdrant | Milvus | Fine-tuning LLMs | Speech Recognition | scikit-learn | Prompt Engineering | OpenSearch,10,14,"Google Cloud Professional ML Engineer (Google Cloud, 2025)",Elasticsearch: 90.0 | LangChain: 64.9 | Weaviate: 61.4,3,65.0,True,56.3,0.73,60,flexible,True,33.2–58.5 LPA,0.67,0.89,433,114,True,True,True,2026-04-28,2024-09-03,250,15,631,75.4
8,0.886324,88.6324,35.0000,24.0741,14.0400,8.4272,1.1500,Staff Machine Learning Engineer | 8.6 yrs exp | 3 AI role(s) in career | assess=14.0 | resp_rate=0.83 | mult=1.150,CAND_0088025,Amit Arora,Staff Machine Learning Engineer | Building AI-native search & ranking systems,"Senior AI engineer with 8.6 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I designed the company's first hybrid retrieval system combining BM25 with dense vector recall, serving 50M+ queries per month. My day-to-day work spans embedding model selection and fine-tuning, hybrid retrieval architecture, learning-to-rank, behavioral-signal integration, and the offline/online evaluation that ties it all together. I've shipped systems in both early-stage product companies and at larger scale, and I've spent enough time on both that I know which tradeoffs apply where. I'm comfortable across the stack from infra to algorithms, but my heart is in retrieval and ranking. Currently exploring my next move — looking for senior IC or tech-lead roles where I can own the intelligence layer end-to-end.","Jaipur, Rajasthan",India,8.6,Staff Machine Learning Engineer,Yellow.ai,201-500,AI/ML,Staff Machine Learning Engineer | Staff Machine Learning Engineer | Senior Machine Learning Engineer,Yellow.ai | Niramai | Genpact AI,45 | 44 | 13,HealthTech AI | AI/ML | AI Services,3,Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-s | Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-s | Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8 months. Designed three successive ranker variants and ran them in A/B testing alongside the legacy ,Ph.D,Data Science,COEP Pune,tier_2,"Elasticsearch (expert, 59 endorse, 69mo) | Learning to Rank (expert, 57 endorse, 90mo) | RAG (expert, 56 endorse, 41mo) | BM25 (expert, 50 endorse, 61mo) | LLMs (expert, 48 endorse, 71mo) | Python (expert, 35 endorse, 63mo) | NLP (expert, 35 endorse, 46mo) | pgvector (expert, 16 endorse, 61mo) | QLoRA (expert, 8 endorse, 83mo) | Hugging Face Transformers (expert, 6 endorse, 55mo) | TensorFlow (expert, 1 endorse, 86mo) | Deep Learning (advanced, 50 endorse, 19mo) | Prompt Engineering (advanced, 37 endorse, 35mo) | YOLO (advanced, 36 endorse, 34mo) | LoRA (advanced, 29 endorse, 22mo)",Pinecone | QLoRA | Hugging Face Transformers | TensorFlow | LoRA | Prompt Engineering | Deep Learning | NLP | YOLO,9,19,,Pinecone: 93.6 | QLoRA: 87.1,2,60.3,True,74.6,0.83,90,hybrid,False,38.5–51.3 LPA,0.95,0.82,1606,18,True,True,True,2026-05-14,2025-11-25,201,19,1398,24.1
9,0.879854,87.9854,35.0000,24.0741,12.1650,8.9809,1.1500,Applied ML Engineer | 6.0 yrs exp | 3 AI role(s) in career | assess=12.2 | resp_rate=0.67 | mult=1.150,CAND_0050876,Vivaan Shah,"Applied ML Engineer | ML, NLP, Recommendation Systems","Machine learning engineer with 6.0 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, my main project for the last 18 months has been the recommendation system that powers our discovery feed. I care a lot about evaluation rigor — too many teams ship models without offline benchmarks they trust. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Kolkata, West Bengal",India,6.0,Applied ML Engineer,Freshworks,5001-10000,SaaS,Applied ML Engineer | AI Engineer | Recommendation Systems Engineer,Freshworks | Yellow.ai | Razorpay,38 | 24 | 9,SaaS | Fintech | AI/ML,3,"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli | Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) fo | Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) fo",M.S. | M.E.,Machine Learning | Information Technology,Stanford University | IIT Kharagpur,tier_1 | tier_1,"Sentence Transformers (expert, 51 endorse, 70mo) | Prompt Engineering (expert, 50 endorse, 81mo) | QLoRA (expert, 16 endorse, 58mo) | scikit-learn (expert, 3 endorse, 85mo) | OpenSearch (expert, 3 endorse, 59mo) | Python (expert, 2 endorse, 66mo) | Qdrant (advanced, 54 endorse, 28mo) | PyTorch (advanced, 38 endorse, 29mo) | MLOps (advanced, 33 endorse, 21mo) | Weights & Biases (advanced, 28 endorse, 59mo) | FAISS (advanced, 19 endorse, 31mo) | Machine Learning (advanced, 17 endorse, 51mo) | LlamaIndex (advanced, 5 endorse, 41mo) | Forecasting (advanced, 2 endorse, 27mo) | Image Classification (intermediate, 13 endorse, 30mo)",Qdrant | FAISS | scikit-learn | Weights & Biases | LlamaIndex | Machine Learning | OpenSearch | YOLO | Kubeflow | QLoRA | Sentence Transformers | Image Classification | Prompt Engineering | PyTorch,14,18,"LangChain for LLM Application Development (DeepLearning.AI, 2018) | AWS Certified Machine Learning Specialty (AWS, 2018)",FAISS: 81.1 | MLOps: 55.8 | Qdrant: 61.0,3,81.8,True,86.1,0.67,90,hybrid,False,27.8–49.5 LPA,0.97,0.77,843,69,True,True,True,2026-05-26,2025-11-21,20,3,42,79.5
10,0.877413,87.7413,35.0000,23.1481,10.3350,9.3070,1.1500,Search Engineer | 4.2 yrs exp | 2 AI role(s) in career | assess=10.3 | resp_rate=0.48 | mult=1.150,CAND_0042506,Zara Pandey,"Search Engineer | Search, Ranking & Retrieval","Machine learning engineer with 4.2 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I built our semantic search infrastructure from scratch — sentence-transformers, FAISS, the works. I've spent enough time debugging production ranking issues to know which signals matter and which are noise. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Mumbai, Maharashtra",India,4.2,Search Engineer,Verloop.io,51-200,Conversational AI,Search Engineer | Machine Learning Engineer,Verloop.io | Meesho,18 | 32,E-commerce | Conversational AI,2,"Implemented a RAG-based customer support chatbot integrated with our existing ticketing system. Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) a | Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) fo",B.Tech | M.E.,Machine Learning | Computer Science,Amity University | PES University,tier_3 | tier_2,"NLP (expert, 60 endorse, 86mo) | FAISS (expert, 43 endorse, 81mo) | PEFT (expert, 39 endorse, 71mo) | Milvus (expert, 30 endorse, 41mo) | Information Retrieval (expert, 26 endorse, 88mo) | Qdrant (expert, 25 endorse, 47mo) | Fine-tuning LLMs (expert, 11 endorse, 53mo) | TensorFlow (expert, 7 endorse, 83mo) | pgvector (expert, 2 endorse, 49mo) | Deep Learning (expert, 1 endorse, 87mo) | Forecasting (advanced, 51 endorse, 27mo) | Object Detection (advanced, 41 endorse, 21mo) | OpenCV (advanced, 40 endorse, 38mo) | Semantic Search (advanced, 19 endorse, 27mo) | scikit-learn (advanced, 11 endorse, 37mo)",PEFT | TTS | scikit-learn | OpenCV | BentoML | Fine-tuning LLMs | TensorFlow | Diffusion Models | Milvus | Deep Learning | Qdrant | FAISS | Airflow | Object Detection | NLP,15,19,"Deep Learning Specialization (Coursera/DeepLearning.AI, 2020) | LangChain for LLM Application Development (DeepLearning.AI, 2021)",OpenCV: 83.7 | PEFT: 68.9 | Semantic Search: 66.6 | TTS: 76.0 | scikit-learn: 73.6,5,83.3,True,64.0,0.48,15,remote,False,42.7–56.3 LPA,0.82,0.77,797,167,False,True,True,2026-05-22,2024-08-13,262,49,41,75.7
